user_id,user_journey
71559,Coupon-Pricing-Sign up-Pricing-Checkout
72771,Log in-Checkout
74256,Sign up-Log in-Other-Homepage-Log in-Checkout
75048,Resources center-Log in-Resources center-Log in-Other-Log in-Other-Courses-Log in-Coupon
82563,Courses-Sign up-Checkout
88208,Homepage-Career tracks-Pricing-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Course certificate-Resources center-Pricing-Log in-Homepage-Pricing-Career tracks-Courses-Homepage-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Homepage-Log in-Homepage-Career track certificate-Career tracks-Courses-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
96793,Homepage-Pricing-Coupon
97516,Other-Homepage-Courses-Coupon
102461,Instructors-Pricing-Homepage-Success stories-Pricing-Coupon
105172,Other-Log in-Coupon
105951,Coupon-Pricing-Checkout
108970,Homepage-Courses-Homepage-Career track certificate-Career tracks-Homepage-Sign up-Homepage-Course certificate-Homepage-Course certificate-Career track certificate-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Homepage-Career track certificate-Other-Log in-Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Sign up-Checkout-Homepage-Pricing-Checkout-Pricing-Upcoming courses-Courses-Sign up-Log in-Sign up-Courses-Homepage-Pricing-Checkout-Log in-Coupon
110519,Coupon
120485,Other-Log in-Homepage-Sign up-Homepage-Log in-Homepage-Pricing-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Upcoming courses-Courses-Resources center-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Career tracks-Checkout
121047,Other-Log in-Homepage-Pricing-Other-Courses-Sign up-Pricing-Sign up-Log in-Other-Coupon
125167,Homepage-Sign up-Homepage-Career tracks-Sign up-Homepage-Log in-Other-Coupon
126202,Resources center-Log in-Other-Log in-Courses-Sign up-Log in-Coupon-Homepage-Career track certificate-Sign up-Career track certificate-Resources center-Career tracks-Pricing-Checkout-Coupon
135366,Homepage-Career tracks-Coupon
142012,Other-Log in-Homepage-Log in-Homepage-Log in-Other-Log in-Homepage-Log in-Checkout
143885,Resources center-Courses-Resources center-Courses-Sign up-Homepage-Career track certificate-Log in-Sign up-Log in-Checkout-Coupon
148246,Log in-Coupon
150335,Homepage-Career track certificate-Homepage-Career track certificate-Career tracks-Sign up-Checkout
150418,Resources center-Other-Sign up-Homepage-Pricing-Career track certificate-Pricing-Course certificate-Resources center-Courses-Sign up-Courses-Sign up-Log in-Homepage-Courses-Sign up-Log in-Homepage-Sign up-Log in-Other-Log in-Homepage-Courses-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Checkout-Log in-Sign up-Coupon-Checkout-Log in-Sign up-Other-Courses-Coupon-Other-Courses-Coupon-Log in-Coupon
151003,Homepage-Pricing-Career track certificate-Homepage-Pricing-Homepage-Pricing-Checkout-Homepage-Log in
152002,Resources center-Log in-Resources center-Other-Resources center-Sign up-Resources center-Other-Resources center-Other-Resources center-Other-Log in-Resources center-Other-Resources center-Checkout
152882,Career tracks-Courses-Sign up-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Coupon
153570,Sign up-Coupon
156771,Coupon
156880,Courses-Pricing-Homepage-Career tracks-Courses-Homepage-Log in-Other-Resources center-Log in-Other-Log in-Homepage-Sign up-Homepage-Log in-Other-Pricing-Log in-Checkout-Log in-Other-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Other-Checkout
157143,Homepage-Upcoming courses-Log in-Sign up-Upcoming courses-Pricing-Checkout-Pricing-Log in-Coupon-Homepage-Career tracks-Courses-Log in-Courses-Log in-Courses-Upcoming courses-Resources center-Career track certificate-Career tracks-Career track certificate-Pricing-Checkout-Pricing-Courses-Log in-Pricing-Other-Pricing-Other-Pricing-Resources center-Other-Log in-Pricing-Checkout-Log in-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Other-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Log in-Other-Pricing-Log in-Coupon
158113,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
160910,Homepage-Course certificate-Courses-Resources center-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Courses-Sign up-Homepage-Log in-Coupon
161329,Homepage-Resources center-Homepage-Other-Pricing-Sign up-Pricing-Courses-Career track certificate-Career tracks-Sign up-Career tracks-Sign up-Career tracks-Pricing-Log in-Homepage-Courses-Homepage-Log in-Checkout
161523,Homepage-Pricing-Sign up-Checkout
161548,Other-Courses-Sign up-Log in-Coupon
162545,Checkout-Courses-Career track certificate-Career tracks-Homepage-Career track certificate-Career tracks-Course certificate-Courses-Log in-Courses-Log in-Courses-Log in-Courses-Log in-Checkout
171697,Coupon
172645,Sign up-Pricing-Checkout-Homepage-Sign up-Checkout-Coupon-Checkout-Coupon
182313,Resources center-Log in-Resources center-Log in-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Log in-Coupon
185224,Log in-Homepage-Log in-Homepage-Log in-Checkout
185236,Homepage-Course certificate-Courses-Log in-Sign up-Courses-Sign up-Log in-Checkout
185890,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Coupon-Log in-Resources center-Other-Coupon-Log in-Pricing-Career track certificate-Career tracks-Sign up-Log in-Coupon-Log in-Coupon
188451,Checkout-Homepage-Log in-Checkout
191962,Log in-Homepage-Log in-Homepage-About us-Other
195227,Log in-Resources center-Other-Resources center-Other-Sign up-Blog-Other-Resources center-Other-Coupon-Checkout-Coupon-Log in-Homepage-Career tracks-Sign up-Career tracks-Coupon
202020,Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Other-Log in-Homepage-Log in-Checkout-Coupon
203365,Homepage-Career track certificate-Sign up-Homepage-Courses-Upcoming courses-Courses-Log in-Homepage-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Courses-Log in-Other-Coupon-Homepage-Pricing-Homepage-Career track certificate-Log in-Coupon-Checkout-Coupon
204731,Other-Log in
209680,Homepage-Log in-Sign up-Log in-Other-Log in-Homepage-Log in-Other-Log in-Checkout-Other-Log in-Other-Resources center-Other-Resources center-Other-Log in-Other-Log in-Checkout
212532,Coupon-Homepage-Log in-Other-Coupon
217381,Coupon
219706,Other-Homepage-Pricing-Homepage-Sign up-Homepage-Career tracks-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout
220511,Pricing-Log in-Homepage-Log in-Coupon-Checkout
220744,Coupon
222389,Other-Career track certificate-Course certificate-Sign up-Log in-Homepage-Pricing-Checkout-Coupon-Log in-Checkout-Homepage-Career track certificate-Career tracks-Homepage-Career track certificate-Homepage-Career tracks-Homepage-Other-Pricing-Checkout-Homepage-Checkout-Pricing-Checkout-Homepage-Pricing-Checkout-Pricing-Checkout-Other-Pricing-Checkout-Homepage-Log in-Checkout
223121,Homepage-Pricing-Homepage-Other-Homepage-Pricing-Career tracks-Pricing-Sign up-Log in-Coupon
223597,Other-Log in-Homepage-Sign up-Homepage-Log in-Pricing-Log in-Homepage-Log in-Coupon
223721,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Log in-Checkout
223777,Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
223883,Other-Log in-Homepage-Log in-Checkout-Homepage-Log in-Checkout-Log in-Other-Course certificate-Career track certificate-Checkout-Log in-Homepage-Log in-Other-Homepage-Log in-Checkout
226950,Log in-Other-Homepage-Log in-Coupon
227784,Course certificate-Career track certificate-Career tracks-Course certificate-Homepage-Pricing-Homepage-Pricing-Sign up-Log in-Checkout
227846,Coupon
228059,Log in-Sign up-Log in-Courses-Log in-Sign up-Log in-Checkout-Log in-Coupon-Log in-Checkout
229602,Other-Coupon
230961,Other-Homepage-Sign up-Log in-Homepage-Log in-Checkout-Homepage-Log in-Checkout-Homepage-Log in-Checkout
233544,Homepage-Log in-Homepage-Log in-Checkout-Log in-Checkout
235712,Log in-Homepage-Career track certificate-Homepage-Pricing-Career tracks-Sign up-Career tracks-Homepage-Pricing-Homepage-Pricing-Log in-Homepage-Career tracks-Courses-Career tracks-Courses-Log in-Homepage-Log in-Checkout
236893,Homepage-Pricing-Log in-Homepage-Pricing-Courses-Pricing-Success stories-Homepage-Pricing-Homepage-Sign up-Log in-Homepage-Pricing-Homepage-Pricing-Log in-Checkout
237247,Homepage-Log in-Checkout
244110,Coupon-Homepage-Career tracks-Sign up-Other-Sign up-Log in-Homepage-Log in-Homepage-Course certificate-Sign up-Course certificate-Log in-Other-Blog-Log in-Checkout
244693,Homepage-Log in-Homepage-Log in-Homepage-Pricing-Log in-Coupon
247070,Homepage-Pricing-Blog-Other-Log in-Homepage-Course certificate-Career track certificate-Homepage-Log in-Checkout
248835,Homepage-Log in-Other-Homepage-Log in-Coupon-Homepage-Pricing-Career tracks-Log in-Homepage-Log in-Coupon
249736,Log in-Other-Sign up-Log in-Courses-Log in-Homepage-Log in-Courses-Log in-Homepage-Log in-Homepage-Courses-Career track certificate-Upcoming courses-Log in-Checkout
250430,Coupon
253512,Log in-Checkout-Homepage-Sign up-Log in-Checkout
255892,Pricing-Log in-Pricing-Log in-Courses-Log in-Homepage-Log in-Homepage-Log in-Checkout
256301,Homepage-Course certificate-Upcoming courses-Course certificate-Upcoming courses-Career tracks-Career track certificate-Courses-Log in-Homepage-Career track certificate-Course certificate-Career tracks-Course certificate-Courses-Sign up-Courses-Sign up-Checkout
256312,Coupon
258989,Homepage-Resources center-Other-Courses-Sign up-Courses-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Courses-Sign up-Resources center-Other-Sign up-Checkout
260579,Homepage-Career tracks-Pricing-Log in-Sign up-Checkout-Coupon
261077,Log in-Resources center-Other-Homepage-Log in
261624,Homepage-Pricing-Career tracks-Sign up-Log in-Coupon-Checkout
262246,Homepage-Log in-Other-Success stories-Resources center-Log in-Homepage-Log in-Checkout
262728,Log in-Checkout
262999,Log in-Checkout
263101,Homepage-Log in-Homepage-Resources center-Courses-Career track certificate-Log in-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Pricing-Course certificate-Homepage-Pricing-Checkout-Homepage-Log in-Checkout
266371,Other-Log in-Other-Log in-Other-Log in-Pricing-Log in-Homepage-Log in-Homepage-Courses-Sign up-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Homepage-Log in-Pricing-Checkout-Courses-Career tracks-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Resources center-Other-Coupon
267025,Homepage-Log in-Homepage-Log in-Coupon
267334,Homepage-Courses-Course certificate-Courses-Homepage-Courses-Log in-Courses-Sign up-Checkout
267719,Career tracks-Sign up-Log in-Checkout-Log in-Checkout
267955,Other-Homepage-Log in-Courses-Log in-Other-Log in-Checkout-Log in-Homepage-Upcoming courses-Pricing-Checkout-Homepage-Pricing-Checkout-Resources center-Courses-Resources center-Other-Log in-Checkout-Coupon-Resources center-Coupon-Sign up-Coupon
269209,Log in-Resources center-Log in-Resources center-Log in-Coupon
269345,Other-Log in-Homepage-Log in-Checkout
270317,Homepage-Sign up-Checkout
271000,Homepage-Log in-Coupon
271778,Coupon
272443,Log in-Other-Log in-Resources center-Log in-Homepage-Log in-Checkout-Log in-Checkout-Log in-Checkout
273256,Log in-Pricing-Log in-Homepage-Sign up-Log in-Homepage-Log in-Career tracks-Pricing-Resources center-Log in-Homepage-Log in-Homepage-Log in-Checkout
274222,Homepage-Courses-Coupon-Homepage-Log in-Checkout
274586,Coupon-Pricing-Sign up-Log in-Homepage-Sign up-Coupon
275657,Other-Homepage-Pricing-Checkout-Coupon
277395,Homepage-Log in-Homepage-Pricing-Courses-Log in-Courses-Course certificate-Homepage-Pricing-Homepage-Courses-Upcoming courses-Courses-Sign up-Log in-Homepage-Pricing-Courses-Upcoming courses-Courses-Homepage-Courses-Upcoming courses-Resources center-Upcoming courses-Success stories-Career track certificate-Resources center-About us-Other-Homepage-Log in-Checkout
278099,Homepage-Career tracks-Sign up-Coupon-Checkout
278257,Log in-Other-Log in-Coupon
279567,Pricing-Career track certificate-Pricing-Resources center-Homepage-Courses-Career tracks-Career track certificate-Course certificate-Other-Courses-Sign up-Log in-Coupon
279886,Other-Log in-Homepage-Career tracks-Career track certificate-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Homepage-Success stories-Career track certificate-Homepage-Career tracks-Log in-Homepage-Career tracks-Courses-Log in-Homepage-Career tracks-Success stories-Homepage-Career tracks-Homepage-Career tracks-Courses-Pricing-Checkout-Success stories-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Other-Pricing-Homepage-Career tracks-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Log in-Other-Sign up-Homepage-Pricing-Homepage-Career tracks-Courses-Career tracks-Pricing-Homepage-Career tracks-Courses-Career tracks-Log in-Homepage-Career tracks-Courses-Career tracks-Homepage-Pricing-Resources center-Career track certificate-Courses-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Resources center-Courses-Pricing-Checkout-Pricing-Career tracks-Homepage-Resources center-Course certificate-Courses-Course certificate-Career track certificate-Course certificate-Courses-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Homepage-Courses-Homepage-Courses-Log in-Courses-Pricing-Courses-Other-Courses-Other-Courses-Other-Log in-Other-Log in-Other-Homepage-Career tracks-Homepage-Career tracks-Other-Homepage-Pricing-Courses-Career track certificate-Career tracks-Courses-Career tracks-Pricing-Career tracks-Courses-Career tracks-Other-Log in-Career tracks-Homepage-Sign up-Homepage-Career tracks-Homepage-Coupon
280244,Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Pricing-Log in-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Sign up-Log in-Homepage-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Homepage-Sign up-Log in-Checkout
281132,Homepage-Career track certificate-Sign up-Homepage-Career track certificate-Pricing-Career track certificate-Upcoming courses-Career tracks-Homepage-Sign up-Coupon-Homepage-Career track certificate-Pricing-Courses-Career tracks-Pricing-Checkout-Pricing-Other-Homepage-Pricing-Career track certificate-Resources center-Other-Pricing-Career tracks-Career track certificate-Other-Coupon
282606,Homepage-Career track certificate-Sign up-Coupon
282927,Courses-Log in-Sign up-Log in-Checkout-Coupon-Sign up-Log in-Courses-Sign up-Log in
282998,Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Resources center-Other-Courses-Career tracks-Courses-Career track certificate-Sign up-Log in-Checkout
283073,Other-Homepage-Sign up-Log in-Homepage-Sign up-Log in
284423,Courses-Career track certificate-Courses-Sign up-Coupon-Homepage-Pricing-Coupon
284947,Other-Career tracks-Sign up-Other-Sign up-Log in-Resources center-Course certificate-Coupon
285057,Homepage-Course certificate-Courses-Career tracks-Courses-Log in-Homepage-Log in-Courses-Log in-Homepage-Pricing-Checkout-Log in-Homepage-Pricing-Log in-Homepage-Pricing-Homepage-Pricing-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
285400,Other-Homepage-Resources center-Homepage-Resources center-Other-Log in-Homepage-Pricing-Resources center-Homepage-Pricing-Resources center-Log in-Coupon-Checkout
286605,Homepage-Sign up-Other-Sign up-Other-Log in-Courses-Log in-Courses-Career tracks-Other-Career track certificate-Other-Resources center-Other-Coupon-Resources center-Other-Coupon-Other-Sign up-Resources center-Other-Resources center-Homepage-Log in-Coupon-Log in-Other-Coupon-Homepage-Career tracks-Coupon
286986,Pricing-Courses-Sign up-Courses-Pricing-Sign up-Pricing-Sign up-Homepage-Sign up-Log in-Checkout-Log in-Checkout
287136,Pricing-Sign up-Log in-Sign up-Homepage-Log in-Checkout
287530,Career tracks-Courses-Career tracks-Sign up-Homepage-Career tracks-Homepage-Courses-Career tracks-Log in-Career tracks-Courses-Homepage-Pricing-Homepage-Career tracks-Courses-Homepage-Career tracks-Courses-Sign up-Homepage-Career tracks-Courses-Career tracks-Courses-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Career tracks-Homepage-Resources center-Homepage-Resources center-Homepage-Resources center-Other-Homepage-Log in-Checkout
288416,Homepage-Pricing-Courses-Career tracks-Sign up-Pricing-Sign up-Homepage-Pricing-Homepage-Career tracks-Homepage-Career tracks-Courses-Homepage-Career tracks-Sign up-Career tracks-Checkout
289110,Other-Homepage-Career tracks-Sign up-Log in-Checkout
289169,Homepage-Pricing-Sign up-Coupon
289171,Other-Coupon-Homepage-Sign up-Coupon
289359,Homepage-Other-Homepage-Pricing-Homepage-Sign up-Homepage-Log in-Homepage-Pricing-Course certificate-Pricing-Course certificate-Career track certificate-Homepage-Pricing-Career track certificate-Career tracks-Log in-Checkout
289370,Homepage-Sign up-Other-Pricing-Courses-Log in-Other-Sign up-Homepage-Courses-Log in-Homepage-Log in-Checkout-Log in-Sign up-Log in-Checkout-Log in-Sign up-Log in-Checkout-Log in-Checkout-Log in-Checkout-Log in-Checkout-Log in-Homepage-Sign up-Log in-Checkout
289379,Other-Log in-Homepage-Courses-Homepage-Courses-Sign up-Log in-Checkout
289748,Homepage-Pricing-Checkout-Pricing-Career tracks-Sign up-Career track certificate-Homepage-Career tracks-Courses-Log in-Coupon-Checkout-Coupon-Checkout-Coupon-Checkout
289842,Courses-Sign up-Log in-Sign up-Coupon-Other-Homepage-Career track certificate-Coupon-Homepage-Sign up-Log in-Coupon
289919,Other-Log in-Resources center-Pricing-Log in-Checkout
289988,Courses-Other-Courses-Log in-Courses-Pricing-Courses-Log in-Homepage-Career tracks-Courses-Sign up-Log in-Homepage-Log in-Checkout
290258,Other-Pricing-Career track certificate-Course certificate-Career track certificate-Sign up-Career track certificate-Sign up-Courses-Homepage-Log in-Other-Resources center-Success stories-Checkout-Coupon
290289,Homepage-Log in-Other-Sign up-Log in-Checkout
290527,Other-Log in-Checkout
291012,Other-Career tracks-Courses-Sign up-Homepage-Career tracks-Sign up-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Courses-Log in-Checkout-Homepage-Pricing-Log in-Homepage-Career tracks-Homepage-Log in-Homepage-Log in-Other-Log in-Checkout
291100,Checkout-Homepage-Log in-Other-Homepage-Log in-Homepage-Log in
291598,Homepage-Career tracks-Sign up-Homepage-Log in-Homepage-Pricing-Homepage-Pricing-Homepage-Log in-Homepage-Pricing-Homepage-Log in-Coupon
291921,Homepage-Career track certificate-Pricing-Checkout-Homepage-Pricing-Log in-Sign up-Homepage-Pricing-Checkout-Career track certificate-Career tracks-Sign up-Career track certificate-Sign up-Career track certificate-Career tracks-Sign up-Career tracks-Homepage-Career track certificate-Course certificate-Upcoming courses-Course certificate-Career track certificate-Career tracks-Courses-Career tracks-Career track certificate-Pricing-Career track certificate-Career tracks-Log in-Homepage-Pricing-Homepage-Pricing-Checkout-Pricing-Homepage-Pricing-Career tracks-Pricing-Career tracks-Career track certificate-Sign up-Career track certificate-Log in-Checkout
292469,Pricing-Checkout-Homepage-Career tracks-Sign up-Career tracks-Homepage-Career tracks-Homepage-Courses-Career tracks-Courses-Sign up-Courses-Pricing-Courses-Pricing-Career tracks-Pricing-Career tracks-Pricing-Checkout-Homepage-Log in-Checkout-Log in-Homepage-Log in-Checkout
292620,Homepage-Career track certificate-Log in-Homepage-Log in-Homepage-Career track certificate-Homepage-Career track certificate-Sign up-Checkout
292886,Homepage-Sign up-Courses-Sign up-Checkout
293325,Coupon-Other-Course certificate-Career track certificate-Career tracks-Courses-Coupon-Checkout
293572,Other-Log in-Coupon
293945,Homepage-Pricing-Upcoming courses-Career tracks-Sign up-Career tracks-Homepage-Pricing-Checkout-Coupon-Homepage-Sign up-Career tracks-Resources center-Other-Coupon
294116,Homepage-Pricing-Homepage-Pricing-Homepage-Courses-Career tracks-Courses-Career tracks-Pricing-Checkout
294736,Other-Career tracks-Pricing-Career tracks-Resources center-Course certificate-Success stories-Career track certificate-Pricing-Success stories-Courses-Homepage-Career tracks-Courses-Log in-Homepage-Career tracks-Resources center-Career track certificate-Career tracks-Homepage-Pricing-Courses-Homepage-Career tracks-Courses-Homepage-Career track certificate-Pricing-Career tracks-Resources center-Other-Resources center-Log in-Homepage-Sign up-Log in-Checkout-Homepage-Log in-Homepage-Sign up-Log in-Checkout
295049,Career track certificate-Sign up-Homepage-Career track certificate-Career tracks-Courses-Career tracks-Courses-Pricing-Homepage-Other-Homepage-Other-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Courses-Homepage-Courses-Other-Career track certificate-Career tracks-Career track certificate-Career tracks-Sign up-Career tracks-Courses-Coupon-Homepage-Log in-Other-Log in-Checkout
295174,Homepage-Pricing-Career track certificate-Course certificate-Career track certificate-Career tracks-Career track certificate-Career tracks-Homepage-Courses-Career track certificate-Career tracks-Pricing-Sign up-Log in-Sign up-Homepage-Courses-Career track certificate-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Pricing-Checkout-Homepage-Career tracks-Courses-Log in-Homepage-Course certificate-Homepage-Course certificate-Log in-Checkout
295176,Homepage-Sign up-Log in-Other-Log in-Other-Log in-Homepage-Log in-Checkout
295682,Resources center-Other-Resources center-Other-Resources center-Homepage-Log in-Checkout-Log in-Pricing-Checkout-Log in-Checkout
296305,Courses-Other-Sign up-Other-Sign up-Log in-Homepage-Resources center-Other-Resources center-Other-Resources center-Other
296352,Other-Course certificate-Other-Courses-Course certificate-Pricing-Course certificate-Homepage-Courses-Sign up-Other-Log in-Coupon
296465,Homepage-Sign up-Other-Homepage-Log in-Homepage-Log in-Checkout
296546,Homepage-Sign up-Homepage-Course certificate-Career track certificate-Courses-Career tracks-Homepage-Sign up-Other-Log in-Checkout
296653,Pricing-Sign up-Log in-Courses-Log in-Coupon
296961,Homepage-Pricing-Checkout-Homepage-Sign up-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Other-Log in-Sign up-Homepage-Log in-Checkout
296983,Homepage-Sign up-Homepage-Pricing-Courses-Other-Pricing-Career track certificate-Course certificate-Homepage-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Course certificate-Homepage-Log in-Checkout
297835,Other-Homepage-Pricing-Sign up-Log in-Checkout
297962,Other-Log in-Checkout
298464,Other-Log in-Coupon
299103,Other-Courses-Career tracks-Sign up-Log in-Sign up-Log in-Coupon
299675,Log in-Coupon
300083,Other-Log in-Checkout
300455,Homepage-Career tracks-Courses-Log in-Homepage-Courses-Homepage-Career tracks-Sign up-Homepage-Sign up-Homepage-Pricing-Checkout-Pricing-Checkout-Pricing-Homepage-Pricing-Homepage-Courses-Log in-Homepage-Pricing-Sign up-Homepage-Pricing-Courses-Log in-Homepage-Pricing-Courses-Career track certificate-Courses-Log in-Courses-Homepage-Sign up-Log in-Homepage-Resources center-Career tracks-Homepage-Career tracks-Courses-Career tracks-Courses-Career tracks-Courses-Career tracks-Log in-Other-Checkout
301568,Log in-Other-Coupon
302683,Other-Homepage-Log in-Homepage-Log in-Homepage-Sign up-Homepage-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Checkout
302942,Log in-Resources center-Pricing-Coupon
303408,Other-Courses-Sign up-Checkout
305004,Other-Career tracks-Courses-Career tracks-Homepage-Log in-Courses-Course certificate-Career track certificate-Career tracks-Career track certificate-Career tracks-Career track certificate-Career tracks-Log in-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Course certificate-Pricing-Checkout-Pricing-Checkout-Pricing-Checkout-Homepage-Courses-Career track certificate-Course certificate-Career track certificate-Career tracks-Courses-Homepage-Log in-Checkout
305785,Homepage-Sign up-Courses-Pricing-Coupon
305842,Other-Log in-Homepage-Log in-Homepage-Log in-Homepage-Log in-Other-Log in-Checkout-Other-Log in-Checkout
306397,Other-Log in-Homepage-Log in-Sign up-Log in-Resources center-Other-Coupon-Homepage-Courses-Coupon
306406,Other-Coupon
307149,Other-Homepage-Courses-Homepage-Sign up-Homepage-Career tracks-Homepage-Sign up-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Homepage-Career tracks-Courses-Career tracks-Pricing-Sign up-Homepage-Courses-Homepage-Sign up-Homepage-Courses-Other-Pricing-Courses-Homepage-Log in-Other-Homepage-Log in-Checkout
307235,Other-Log in-Resources center-Other-Resources center-Other-Courses-Homepage-Courses-Homepage-Courses-Homepage-Resources center-Upcoming courses-Career tracks-Checkout-Homepage-Courses-Coupon-Log in-Other-Log in
307546,Other-Log in-Coupon-Homepage-Log in-Checkout
